Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Metric_Quaternary,Value
2013/14,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,100
2013/14,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,40
2013/14,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,0
2013/14,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,-
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,10
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,25-34,30
2013/14,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,20
2013/14,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,270
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,0
2013/14,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,250
2013/14,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,100
2013/14,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,All persons,25-34,190
2013/14,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,25-34,140
2013/14,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,25-34,0
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,All persons,25-34,20
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Narrow,Other,Wholly attributable,All persons,25-34,-
2013/14,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,All persons,25-34,10
2013/14,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,All persons,25-34,0
2013/14,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,All persons,25-34,-
2013/14,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,All persons,25-34,10
2013/14,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,All persons,25-34,330
2013/14,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,All persons,25-34,660
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,All persons,25-34,300
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,All persons,25-34,-
2013/14,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,All persons,25-34,-
2013/14,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,25-34,640
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,25-34,7370
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,All persons,25-34,30
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,All persons,25-34,90
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,All persons,25-34,280
2013/14,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,All persons,25-34,1070
2013/14,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,All persons,25-34,120
2013/14,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,All persons,25-34,30
2013/14,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,All persons,25-34,280
2013/14,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,All persons,25-34,20
2013/14,C32,Larynx,Narrow,Cancer,Partly attributable chronic,All persons,25-34,30
2013/14,C50,Breast,Narrow,Cancer,Partly attributable chronic,All persons,25-34,600
2013/14,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,All persons,25-34,1400
2013/14,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,25-34,110
2013/14,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,25-34,350
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,25-34,70
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,25-34,0
2013/14,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,25-34,160
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,All persons,25-34,370
2013/14,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,All persons,25-34,80
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,All persons,25-34,720
2013/14,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,25-34,1550
2013/14,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,25-34,-
2013/14,§,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,All persons,25-34,1410
2013/14,X40–X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,All persons,25-34,440
2013/14,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,25-34,2040
2013/14,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,25-34,40
2013/14,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,All persons,25-34,0
2013/14,§§,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,All persons,25-34,6320
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,All persons,25-34,1790
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,All persons,25-34,50
2013/14,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,All persons,25-34,1270
2013/14,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,3520
2013/14,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,660
2013/14,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,2590
2013/14,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,4730
2013/14,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,220
2013/14,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,80
2013/14,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,20
2013/14,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,10
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,0
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,35-44,70
2013/14,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,50
2013/14,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,640
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,10
2013/14,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,1080
2013/14,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,440
2013/14,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,All persons,35-44,800
2013/14,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,35-44,150
2013/14,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,35-44,0
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,All persons,35-44,20
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Narrow,Other,Wholly attributable,All persons,35-44,0
2013/14,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,All persons,35-44,30
2013/14,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,All persons,35-44,20
2013/14,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,All persons,35-44,0
2013/14,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,All persons,35-44,20
2013/14,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,All persons,35-44,440
2013/14,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,All persons,35-44,1040
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,All persons,35-44,570
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,All persons,35-44,-
2013/14,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,All persons,35-44,0
2013/14,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,35-44,610
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,35-44,7870
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,All persons,35-44,20
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,All persons,35-44,150
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,All persons,35-44,230
2013/14,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,All persons,35-44,4790
2013/14,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,All persons,35-44,550
2013/14,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,All persons,35-44,290
2013/14,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,All persons,35-44,710
2013/14,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,All persons,35-44,30
2013/14,C32,Larynx,Narrow,Cancer,Partly attributable chronic,All persons,35-44,40
2013/14,C50,Breast,Narrow,Cancer,Partly attributable chronic,All persons,35-44,3160
2013/14,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,All persons,35-44,1520
2013/14,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,35-44,400
2013/14,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,35-44,700
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,35-44,160
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,35-44,10
2013/14,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,35-44,410
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,All persons,35-44,660
2013/14,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,All persons,35-44,170
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,All persons,35-44,1280
2013/14,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,35-44,1190
2013/14,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,35-44,-
2013/14,§,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,All persons,35-44,890
2013/14,X40–X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,All persons,35-44,370
2013/14,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,35-44,2220
2013/14,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,35-44,30
2013/14,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,All persons,35-44,0
2013/14,§§,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,All persons,35-44,6450
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,All persons,35-44,1640
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,All persons,35-44,40
2013/14,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,All persons,35-44,820
2013/14,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,3930
2013/14,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,710
2013/14,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,2500
2013/14,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,4860
2013/14,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,240
2013/14,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,90
2013/14,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,90
2013/14,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,20
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,10
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,45-54,40
2013/14,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,50
2013/14,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,690
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,20
2013/14,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,2370
2013/14,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,900
2013/14,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,All persons,45-54,1370
2013/14,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,45-54,170
2013/14,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,45-54,10
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,All persons,45-54,20
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Narrow,Other,Wholly attributable,All persons,45-54,-
2013/14,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,All persons,45-54,80
2013/14,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,All persons,45-54,30
2013/14,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,All persons,45-54,0
2013/14,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,All persons,45-54,50
2013/14,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,All persons,45-54,450
2013/14,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,All persons,45-54,970
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,All persons,45-54,590
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,All persons,45-54,-
2013/14,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,All persons,45-54,0
2013/14,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,45-54,430
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,45-54,7150
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,All persons,45-54,20
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,All persons,45-54,190
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,All persons,45-54,310
2013/14,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,All persons,45-54,14990
2013/14,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,All persons,45-54,2240
2013/14,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,All persons,45-54,1670
2013/14,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,All persons,45-54,2490
2013/14,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,All persons,45-54,150
2013/14,C32,Larynx,Narrow,Cancer,Partly attributable chronic,All persons,45-54,200
2013/14,C50,Breast,Narrow,Cancer,Partly attributable chronic,All persons,45-54,8240
2013/14,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,All persons,45-54,1820
2013/14,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,45-54,650
2013/14,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,45-54,1900
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,45-54,350
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,45-54,60
2013/14,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,45-54,960
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,All persons,45-54,1210
2013/14,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,All persons,45-54,460
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,All persons,45-54,1670
2013/14,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,45-54,40
2013/14,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,45-54,-
2013/14,§,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,All persons,45-54,1030
2013/14,X40–X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,All persons,45-54,350
2013/14,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,45-54,3230
2013/14,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,45-54,40
2013/14,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,All persons,45-54,0
2013/14,§§,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,All persons,45-54,8480
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,All persons,45-54,1420
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,All persons,45-54,40
2013/14,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,All persons,45-54,570
2013/14,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,2210
2013/14,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,360
2013/14,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,1110
2013/14,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,2550
2013/14,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,120
2013/14,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,30
2013/14,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,100
2013/14,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,30
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,10
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,55-64,20
2013/14,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,40
2013/14,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,410
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,20
2013/14,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,2160
2013/14,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,800
2013/14,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,All persons,55-64,1160
2013/14,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,55-64,70
2013/14,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,All persons,55-64,0
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,All persons,55-64,10
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Narrow,Other,Wholly attributable,All persons,55-64,-
2013/14,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,All persons,55-64,60
2013/14,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,All persons,55-64,30
2013/14,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,All persons,55-64,10
2013/14,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,All persons,55-64,40
2013/14,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,All persons,55-64,210
2013/14,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,All persons,55-64,400
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,All persons,55-64,170
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,All persons,55-64,-
2013/14,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,All persons,55-64,0
2013/14,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,55-64,150
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,All persons,55-64,2340
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,All persons,55-64,10
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,All persons,55-64,80
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,All persons,55-64,170
2013/14,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,All persons,55-64,21370
2013/14,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,All persons,55-64,3280
2013/14,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,All persons,55-64,4480
2013/14,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,All persons,55-64,5960
2013/14,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,All persons,55-64,380
2013/14,C32,Larynx,Narrow,Cancer,Partly attributable chronic,All persons,55-64,550
2013/14,C50,Breast,Narrow,Cancer,Partly attributable chronic,All persons,55-64,6730
2013/14,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,All persons,55-64,1270
2013/14,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,55-64,530
2013/14,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,55-64,3490
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,55-64,440
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,55-64,150
2013/14,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,All persons,55-64,1190
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,All persons,55-64,1990
2013/14,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,All persons,55-64,660
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,All persons,55-64,1300
2013/14,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,55-64,0
2013/14,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,All persons,55-64,-
2013/14,§,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,All persons,55-64,460
2013/14,X40–X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,All persons,55-64,190
2013/14,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,55-64,3410
2013/14,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,All persons,55-64,20
2013/14,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,All persons,55-64,0
2013/14,§§,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,All persons,55-64,7990
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,All persons,55-64,490
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,All persons,55-64,20
2013/14,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,All persons,55-64,190
2013/14,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,65-74,1100
2013/14,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,65-74,250
2013/14,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,All persons,65-74,410
